,char_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
44,20,desktop,off,10698.0,3965.0,4509.0,0.672647431641,37.0630024304,42.1480650589
45,20,mobile,off,5808.0,1781.0,1816.0,0.839627892184,30.664600551,31.2672176309
46,21,desktop,off,8506.0,3091.0,3482.0,0.534823242993,36.3390547849,40.9358100165
47,21,mobile,off,3959.0,1019.0,1039.0,0.572328998822,25.7388229351,26.2440010104
48,22,desktop,off,6801.0,2860.0,3066.0,0.4276196656,42.0526393177,45.0816056462
49,22,mobile,off,3474.0,889.0,913.0,0.502215443775,25.5900978699,26.2809441566
50,23,desktop,off,3979.0,1481.0,1571.0,0.250183597916,37.2204071375,39.4822819804
51,23,mobile,off,1925.0,451.0,453.0,0.27828575972,23.4285714286,23.5324675325
52,24,desktop,off,3726.0,1412.0,1511.0,0.234275970302,37.8958668814,40.5528717123
53,24,mobile,off,1715.0,431.0,435.0,0.247927313205,25.1311953353,25.3644314869
54,25,desktop,off,2510.0,949.0,993.0,0.157818756162,37.8087649402,39.561752988
55,25,mobile,off,1218.0,274.0,276.0,0.176078989787,22.4958949097,22.6600985222
56,26,desktop,off,1563.0,544.0,559.0,0.0982751856099,34.804862444,35.7645553423
57,26,mobile,off,881.0,185.0,186.0,0.127360911332,20.9988649262,21.1123723042
58,27,desktop,off,1306.0,450.0,455.0,0.0821160540029,34.4563552833,34.8392036753
59,27,mobile,off,586.0,104.0,104.0,0.0847145221797,17.747440273,17.747440273
60,28,desktop,off,931.0,291.0,294.0,0.0585375545764,31.2567132116,31.5789473684
61,28,mobile,off,442.0,68.0,68.0,0.0638973017124,15.3846153846,15.3846153846
62,29,desktop,off,715.0,194.0,197.0,0.0449563389067,27.1328671329,27.5524475524
63,29,mobile,off,282.0,51.0,51.0,0.0407670567486,18.085106383,18.085106383
64,30,desktop,off,3547.0,867.0,882.0,0.223021166576,24.4431914294,24.8660840147
65,30,mobile,off,964.0,138.0,138.0,0.139359725907,14.3153526971,14.3153526971
4,3,desktop,on,31793.0,2950.0,4263.0,5.2127448521,9.27877205674,13.4086119586
5,3,mobile,on,32097.0,1218.0,1389.0,4.96437227301,3.79474717263,4.32750724367
6,4,desktop,on,66563.0,6455.0,9138.0,10.9135953068,9.69757973649,13.7283475805
7,4,mobile,on,63613.0,2543.0,2923.0,9.8388825561,3.9976105513,4.5949727257
8,5,desktop,on,68682.0,6886.0,10168.0,11.2610241856,10.0259165429,14.8044611397
9,5,mobile,on,79860.0,4517.0,5156.0,12.3517702503,5.65614825945,6.45629852241
10,6,desktop,on,73686.0,9762.0,13963.0,12.0814744495,13.2481068317,18.9493255164
11,6,mobile,on,88973.0,5313.0,5842.0,13.7612578823,5.97147449226,6.5660368876
12,7,desktop,on,69178.0,13657.0,16388.0,11.3423477929,19.7418254358,23.6896123045
13,7,mobile,on,68579.0,4045.0,4517.0,10.6069628349,5.89830706193,6.58656440018
14,8,desktop,on,56904.0,10209.0,13434.0,9.32991643016,17.9407423028,23.6081822016
15,8,mobile,on,62613.0,3506.0,3888.0,9.68421475933,5.59947614713,6.20957309185
16,9,desktop,on,32573.0,5488.0,7285.0,5.34063278292,16.84830995,22.3651490498
17,9,mobile,on,33367.0,1830.0,2017.0,5.16080037491,5.4844606947,6.0448946564
18,10,desktop,on,28573.0,4362.0,5729.0,4.68479724024,15.2661603612,20.0503972282
19,10,mobile,on,29299.0,1568.0,1727.0,4.53161177764,5.35171848869,5.89439912625
20,11,desktop,on,28784.0,5238.0,6485.0,4.71939256512,18.1976097832,22.5298777098
21,11,mobile,on,33582.0,1818.0,1990.0,5.19405395122,5.41361443631,5.92579357989
22,12,desktop,on,29121.0,5365.0,7246.0,4.77464670959,18.4231310738,24.8823872807
23,12,mobile,on,37732.0,2255.0,2519.0,5.83592530783,5.97635958868,6.67603095516
24,13,desktop,on,21402.0,3658.0,4691.0,3.50904807111,17.0918605738,21.9185122886
25,13,mobile,on,24444.0,1326.0,1468.0,3.78069962431,5.42464408444,6.00556373752
26,14,desktop,on,18313.0,3725.0,4533.0,3.00257907327,20.3407415497,24.7529077704
27,14,mobile,on,18575.0,1253.0,1358.0,2.87295432505,6.74562584118,7.31090174966
28,15,desktop,on,13777.0,3168.0,3601.0,2.25886156787,22.9948464833,26.1377658416
29,15,mobile,on,12384.0,830.0,886.0,1.91540599523,6.70219638243,7.15439276486
30,16,desktop,on,11799.0,2402.0,2899.0,1.93455089202,20.3576574286,24.5698788033
31,16,mobile,on,9767.0,683.0,756.0,1.51064037108,6.9929353947,7.7403501587
32,17,desktop,on,8060.0,1758.0,2088.0,1.3215086185,21.8114143921,25.905707196
33,17,mobile,on,7531.0,484.0,535.0,1.1648031775,6.42676935334,7.10397025627
34,18,desktop,on,9226.0,2134.0,2484.0,1.51268467919,23.1302839801,26.9239106872
35,18,mobile,on,8270.0,558.0,601.0,1.27910267931,6.74727932285,7.26723095526
36,19,desktop,on,5326.0,1177.0,1338.0,0.873245025078,22.0991363124,25.1220428089
37,19,mobile,on,4430.0,370.0,390.0,0.685178339703,8.35214446953,8.80361173815
38,20,desktop,on,3161.0,769.0,833.0,0.518274037602,24.3277443847,26.3524201202
39,20,mobile,on,3240.0,290.0,300.0,0.501123661544,8.95061728395,9.25925925926
40,21,desktop,on,2216.0,540.0,609.0,0.363332890644,24.3682310469,27.4819494585
41,21,mobile,on,2175.0,200.0,207.0,0.336402457981,9.19540229885,9.51724137931
42,22,desktop,on,2433.0,588.0,631.0,0.398911968835,24.1676942047,25.9350595972
43,22,mobile,on,2032.0,164.0,174.0,0.314284963042,8.07086614173,8.56299212598
44,23,desktop,on,2075.0,609.0,669.0,0.340214687765,29.3493975904,32.2409638554
45,23,mobile,on,1841.0,139.0,155.0,0.284743413859,7.55024443237,8.41933731668
46,24,desktop,on,3674.0,491.0,750.0,0.602384945951,13.3641807295,20.4137180185
47,24,mobile,on,1894.0,102.0,167.0,0.292940807087,5.38542766631,8.81731784583
48,25,desktop,on,1526.0,512.0,536.0,0.250201259532,33.5517693316,35.124508519
49,25,mobile,on,1251.0,136.0,137.0,0.193489413763,10.8713029576,10.9512390088
50,26,desktop,on,877.0,272.0,282.0,0.143791942732,31.0148232611,32.1550741163
51,26,mobile,on,746.0,58.0,60.0,0.115382176392,7.77479892761,8.04289544236
52,27,desktop,on,795.0,271.0,273.0,0.130347314108,34.0880503145,34.3396226415
53,27,mobile,on,493.0,53.0,53.0,0.0762512238089,10.7505070994,10.7505070994
54,28,desktop,on,1711.0,385.0,441.0,0.280533653381,22.5014611338,25.7744009351
55,28,mobile,on,594.0,63.0,74.0,0.091872671283,10.6060606061,12.4579124579
56,29,desktop,on,531.0,166.0,169.0,0.0870621682907,31.2617702448,31.8267419962
57,29,mobile,on,391.0,57.0,59.0,0.0604751085381,14.5780051151,15.0895140665
58,30,desktop,on,4231.0,1241.0,1291.0,0.693710045269,29.3311273931,30.5128811156
59,30,mobile,on,1313.0,113.0,125.0,0.203078817163,8.60624523991,9.52018278751
