scope,term_length,year,perc_query_count,ctr,findability
desktop,12,2016,3.94109701004,22.0906165095,18.2634269076
desktop,13,2016,2.88792354489,22.678796672,16.8678621824
desktop,14,2016,3.23087599908,17.9325480538,16.4331564172
desktop,15,2016,2.68363184719,18.2775170516,16.279891183
desktop,16,2016,1.89630880975,22.215188942,19.1221195578
desktop,17,2016,1.22059772327,20.8969660879,20.868590224
desktop,18,2016,1.02865576993,20.4402840308,22.6817922298
desktop,19,2016,0.841754346932,22.7862301289,20.5335909875
desktop,20,2016,0.854295936003,20.9372522542,21.7101886294
desktop,21,2016,0.574348633149,23.2777847658,19.5180198421
desktop,22,2016,0.525865168745,26.6837524073,19.0331557466
desktop,23,2016,0.46394742226,31.3350374411,20.0100387682
desktop,24,2016,0.483349654519,37.0762761307,20.2345635456
desktop,25,2016,0.341853606494,34.6158504638,24.9632310951
desktop,26,2016,0.271265680644,36.4861121797,24.9875182396
desktop,27,2016,0.29206914102,34.7222315626,23.5300423256
desktop,28,2016,0.235536569549,32.9083304783,31.6382905699
desktop,29,2016,0.209760145044,32.3771882919,27.2484165855
desktop,30,2016,1.36188659593,36.2999158956,27.523589216
mobile,3,2017,2.99909969804,82.7647194333,16.041976852
mobile,4,2017,10.0850689775,64.0137878626,21.8410211331
mobile,5,2017,12.1233739985,73.0697760371,17.6396697231
mobile,6,2017,11.4753534492,71.4098139748,20.0334978876
mobile,7,2017,10.8856841422,70.7676759347,20.1672995535
mobile,8,2017,9.75738642905,69.8289368102,24.5378416744
mobile,9,2017,6.46688638901,60.9746493429,20.8822114215
mobile,10,2017,5.46306473032,59.3470156369,25.6874996752
mobile,11,2017,5.19117138045,53.3652525007,23.6924544433
mobile,12,2017,5.3377831843,63.5060865317,31.8593899884
mobile,13,2017,4.12324787008,55.582581545,27.0821456554
mobile,14,2017,3.86599706615,59.0232712629,31.0156611537
mobile,15,2017,3.77510215753,52.7511898194,29.4630555906
mobile,16,2017,3.1189316204,58.1485345855,33.3894686835
mobile,17,2017,2.15401999933,49.2443597077,34.4945326532
mobile,18,2017,1.94368005868,48.0130924776,35.0106551481
mobile,19,2017,1.24859858103,44.08900754,32.0830823533
mobile,20,2017,1.22370238915,49.6188030828,29.4318470201
mobile,21,2017,1.05983747369,47.8511110707,24.3742222041
mobile,22,2017,0.704390447456,57.6502503141,25.8050476413
mobile,23,2017,0.608155610388,59.5096530722,35.6599583493
mobile,24,2017,0.497087800005,48.8228669389,41.2603204716
mobile,25,2017,0.373504889275,51.710609834,39.8767647075
mobile,26,2017,0.28389899346,43.4976510078,32.7970723188
mobile,27,2017,0.269597757665,50.2078799974,31.9143536204
mobile,28,2017,0.204177095575,46.746340758,34.8136283177
mobile,29,2017,0.141185324593,44.9077510825,39.7767221703
mobile,30,2017,0.727709103195,38.4489310399,34.5295323649
mobile,3,2016,3.05337937086,38.6776925459,29.7137845451
mobile,4,2016,8.8991055891,40.0332140644,33.1508862158
mobile,5,2016,10.2281922666,38.7458093244,27.9261106978
mobile,6,2016,10.4577471128,40.5476927833,33.6625033481
mobile,7,2016,11.2979281544,40.7228639582,32.9808115337
mobile,8,2016,9.78544313432,41.2368344357,39.4232351587
mobile,9,2016,5.51161218364,41.8334497779,35.0517848561
mobile,10,2016,5.83635057136,44.5679551133,42.3286363518
mobile,11,2016,5.32462661456,51.3141758821,40.664044582
mobile,12,2016,5.0018831762,46.3898469521,41.9440040201
mobile,13,2016,3.86974663367,43.8503831702,48.1972049704
mobile,14,2016,3.08065835378,46.1683112373,43.4109521579
mobile,15,2016,2.62005948933,38.8769001276,39.4466927749
mobile,16,2016,2.13185646,48.6809045167,43.4735717618
mobile,17,2016,1.6646650417,48.1757689942,37.8896722711
mobile,18,2016,1.41735480309,56.1199309854,40.0298388306
mobile,19,2016,1.18651487385,47.5545551828,44.7569446821
mobile,20,2016,1.04549024198,54.7799888704,46.2305814061
mobile,21,2016,0.807442679432,51.0781182716,43.6735066721
mobile,22,2016,0.597607076271,49.6740667422,51.0022929389
mobile,23,2016,0.504682938582,55.7041722491,49.4247836083
mobile,24,2016,0.552523390403,59.9509904088,55.6558596461
mobile,25,2016,0.37001050456,57.236682851,53.3483151814
mobile,26,2016,0.299542097095,61.1155749487,49.0725560011
mobile,27,2016,0.207415309781,59.0868571364,50.0217968023
mobile,28,2016,0.21293251431,60.1115208964,54.4190857111
mobile,29,2016,0.153706606349,60.7778874044,50.0242508097
mobile,30,2016,0.897540478734,60.4251761945,60.9678846904
